,name,price,description,image_url,category,created_at
,Trà Sữa Trân Châu đường đen,20000,"THƯƠNG HIỆU: HILLWAY. XUẤT XỨ: VIỆT NAM. TRỌNG LƯỢNG TỊNH: 232G. HƯỚNG DẪN SỬ DỤNG: XEM CỤ THỂ TRÊN BAO BÌ SẢN PHẨM. HẠN SỬ DỤNG: 18 THÁNG KỂ TỪ NGÀY SẢN XUẤT. BẢO QUẢN: NƠI KHÔ RÁO, THOÁNG MÁT, TRÁNH ÁNH NẮNG TRỰC TIẾP.",../products/image/tra-sua-tran-chau-duong-den.jpg,Đồ Uống,
,Cà phê sữa đá,15000,"Cà phê pha phin đậm đặc, hòa cùng sữa đặc và đá viên. Vị đắng quyện với vị ngọt béo, là ""quốc hồn quốc túy"" của người Việt.",../products/image/ca-phe-sua-da.jpg,Đồ Uống,
,Cà phê đen đá,15000,"Cà phê nguyên chất không đường, đậm vị, dành cho người thích sự tỉnh táo và nguyên bản.",../products/image/ca-phe-den-da.webp,Đồ Uống,
,Trà đá,15000,"Trà pha loãng, uống lạnh với đá. Thức uống miễn phí quốc dân ở quán ăn Việt Nam.",../products/image/tra-da.jpg,Đồ Uống,
,Trà chanh,20000,"Trà xanh pha với nước cốt chanh và đường. Thức uống ưa thích của học sinh, sinh viên, đặc biệt vào mùa hè.",../products/image/tra-chanh.jpg,Đồ Uống,
,Trà tắc,15000,"Kết hợp trà xanh với nước tắc, thêm chút mật ong hoặc đường và đá lạnh, vị chua ngọt sảng khoái.",../products/image/tra-tac.webp,Đồ Uống,
,Number One,15000,"Nước tăng lực nội địa, vị ngọt, có gas nhẹ, giúp tỉnh táo tạm thời. Cạnh tranh với Red Bull.",../products/image/number-one.webp,Đồ Uống,
,Sting Dâu,15000,"Nước tăng lực hương dâu, màu đỏ bắt mắt, vị ngọt đậm, khá phổ biến trong giới trẻ.",../products/image/sting-dau.webp,Đồ Uống,
,C2 Trà xanh,15000,"Trà xanh đóng chai vị ngọt nhẹ, dễ uống, giá rẻ. Có các vị như chanh, đào, tắc.",../products/image/c2-tra-xanh.jpg,Đồ Uống,
,Revive,15000,"Nước điện giải, thường dùng sau khi vận động. Có vị chua nhẹ, mặn mặn do chứa muối khoáng.",../products/image/revive.jpg,Đồ Uống,
,Trà sữa trân châu,20000,"Trà pha cùng sữa (hoặc bột sữa), thêm trân châu dẻo dai. Có nhiều vị như matcha, socola, oolong, v.v.",../products/image/tra-sua-tran-chau.jpg,Đồ Uống,
,Sinh tố bơ,20000,"Bơ xay với sữa đặc và đá, cực kỳ béo, mịn và mát lạnh. Một món khoái khẩu mùa hè.",../products/image/sinh-to-bo.jpg,Đồ Uống,
,Nước mía,10000,"Nước ép từ cây mía tươi, đôi khi kèm tắc. Ngọt tự nhiên, giải nhiệt rất tốt.",../products/image/nuoc-mia.png,Đồ Uống,
,Đá me,10000,"Nước me chua ngọt, thêm đá, muối, đậu phộng
",../products/image/da-me.webp,Đồ Uống,
,Matcha latte ,35000,Trà xanh Nhật Bản pha với sữa tươi béo,"../products/image/matcha-latte.jpg
",Đồ Uống,
,Cacao sữa đá,35000,Bột cacao pha với sữa đặc và đá,../products/image/cacao-sua-da.jpg,Đồ Uống,
,7up,15000,"Nước ngọt có gas vị chanh
",../products/image/7up.jpg,Đồ Uống,
,Pepsi,15000,Nước ngọt có gas vị coca,../products/image/pepsi.jpg,Đồ Uống,
,Red bull,20000,"Nước tăng lực, ngọt, hơi gắt
",../products/image/red-bull.jpg,Đồ Uống,
,Trà đào cam sả,30000,"Trà thơm, có miếng đào, cam và sả",../products/image/tra-dao-cam-sa.jpg,Đồ Uống,
,"Trà vải
",30000,Trà đen/oolong pha với siro vải và trái vải,../products/image/tra-vai.jpg,Đồ Uống,
,Sữa bắp,20000,"Sữa nấu từ bắp ngọt, thơm, béo nhẹ",../products/image/sua-bap.jpg,Đồ Uống,
,Sữa đậu nành mát,20000,"Sữa đậu nành mát, ngọt nhẹ, uống lạnh
",../products/image/sua-dau-nanh-mat.jpg,Đồ Uống,
,Sữa tươi trân châu đường đen ,35000,"Sữa tươi kèm trân châu ngọt đậm
",../products/image/sua-tuoi-tran-chau-duong-den.jpg,Đồ Uống,
,Trà sen vàng,25000,"Trà hoa nhài thanh mát, kèm hạt sen",../products/image/tra-sen-vang.jpg,Đồ Uống,
,Trà trái cây nhiệt đới,35000,"Trà trái cây mix cam, chanh, đào, thảo mộc",../products/image/tra-trai-cay-nhiet-doi.jpg,Đồ Uống,
,"Sâm bí đao
",20000,"Nước nấu từ bí đao, lá nếp, mía lau, uống mát, thanh",../products/image/sam-bi-dao.jpg,Đồ Uống,
,Milo dầm trân châu ,35000,"Milo pha đậm, thêm đá, sữa đặc và topping trân châu
",../products/image/milo-dam-tran-chau.jpg,Đồ Uống,
,trà chôm chôm ,40000,"Tươi mát, ngọt dịu, thanh nhẹ, thơm lạ, chua nhẹ, sảng khoái, độc đáo, lôi cuốn, mát lạnh, tự nhiên",../products/image/tra-chom-chom.png,Đồ Uống,
,Matcha latte chuối,45000,"Matcha latte hương chuối là sự kết hợp hài hòa giữa vị trà xanh nhẹ đắng và vị ngọt dịu, thơm mát của chuối chín.",../products/image/mattcha-latte-chuoi.png,Đồ Uống,
, Matcha latte việt quất,45000,Matcha latte việt quất mang đến sự hòa quyện độc đáo giữa vị trà xanh tươi mát và vị chua ngọt nhẹ nhàng của việt quất.,../products/image/mattcha-latte-viet-quat.png,Đồ Uống,
,Trà nhãn,20000,"Trà nhãn ngọt thanh, thơm nhẹ, kết hợp vị trà dịu và nhãn tươi, mang lại cảm giác thư giãn, dễ chịu.",../products/image/tra-nhan.png,Đồ Uống,
